"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2025","4.33","4.33","4.50","4.25","104.00B","0.00%"
"03/26/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/25/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/24/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/21/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/19/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/18/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/12/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/10/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/05/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/04/2025","4.33","4.33","4.33","4.33","","0.00%"
"03/03/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/28/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/27/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/26/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/25/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/24/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/21/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/20/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/19/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/18/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/14/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/13/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/12/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/11/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/10/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/07/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/06/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/05/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/04/2025","4.33","4.33","4.33","4.33","","0.00%"
"02/03/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/31/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/30/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/29/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/28/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/27/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/24/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/23/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/22/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/21/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/17/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/16/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/15/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/14/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/13/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/10/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/09/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/08/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/07/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/06/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/03/2025","4.33","4.33","4.33","4.33","","0.00%"
"01/02/2025","4.33","4.33","4.33","4.33","","0.00%"
"12/31/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/30/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/27/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/26/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/24/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/23/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/20/2024","4.33","4.33","4.33","4.33","","0.00%"
"12/19/2024","4.33","4.33","4.33","4.33","","-5.46%"
"12/18/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/17/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/16/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/13/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/12/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/11/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/10/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/09/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/06/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/05/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/04/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/03/2024","4.58","4.58","4.58","4.58","","0.00%"
"12/02/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/29/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/27/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/26/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/25/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/22/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/21/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/20/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/19/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/18/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/15/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/14/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/13/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/12/2024","4.58","4.58","4.58","4.58","","0.00%"
"11/08/2024","4.58","4.58","4.58","4.58","","-5.18%"
"11/07/2024","4.83","4.83","4.83","4.83","","0.00%"
"11/06/2024","4.83","4.83","4.83","4.83","","0.00%"
"11/05/2024","4.83","4.83","4.83","4.83","","0.00%"
"11/04/2024","4.83","4.83","4.83","4.83","","0.00%"
"11/01/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/31/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/30/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/29/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/28/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/25/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/24/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/23/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/22/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/21/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/18/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/17/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/16/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/15/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/11/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/10/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/09/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/08/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/07/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/04/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/03/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/02/2024","4.83","4.83","4.83","4.83","","0.00%"
"10/01/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/30/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/27/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/26/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/25/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/24/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/23/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/20/2024","4.83","4.83","4.83","4.83","","0.00%"
"09/19/2024","4.83","4.83","4.83","4.83","","-9.38%"
"09/18/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/17/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/13/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/11/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/10/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/09/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/06/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/04/2024","5.33","5.33","5.33","5.33","","0.00%"
"09/03/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/30/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/28/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/27/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/26/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/23/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/21/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/20/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/19/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/15/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/14/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/13/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/09/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/08/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/07/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/06/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/05/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/02/2024","5.33","5.33","5.33","5.33","","0.00%"
"08/01/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/31/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/30/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/29/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/26/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/25/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/24/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/23/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/22/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/19/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/18/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/17/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/16/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/15/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/12/2024","5.33","5.33","5.33","5.33","","0.00%"
"07/11/2024","5.33","5.33","5.33","5.33","","0.00%"
