date,difficulty,market_price
2009-01-03,1.0,0.0
2009-01-07,0.0,0.0
2009-01-11,1.0,0.0
2009-01-15,1.0,0.0
2009-01-19,1.0,0.0
2009-01-23,1.0,0.0
2009-01-27,1.0,0.0
2009-01-31,1.0,0.0
2009-02-04,1.0,0.0
2009-02-08,1.0,0.0
2009-02-12,1.0,0.0
2009-02-16,1.0,0.0
2009-02-20,1.0,0.0
2009-02-24,1.0,0.0
2009-02-28,1.0,0.0
2009-03-04,1.0,0.0
2009-03-08,1.0,0.0
2009-03-12,1.0,0.0
2009-03-16,1.0,0.0
2009-03-20,1.0,0.0
2009-03-24,1.0,0.0
2009-03-28,1.0,0.0
2009-04-01,1.0,0.0
2009-04-05,1.0,0.0
2009-04-09,1.0,0.0
2009-04-13,1.0,0.0
2009-04-17,1.0,0.0
2009-04-21,1.0,0.0
2009-04-25,1.0,0.0
2009-04-29,1.0,0.0
2009-05-03,1.0,0.0
2009-05-07,1.0,0.0
2009-05-11,1.0,0.0
2009-05-15,1.0,0.0
2009-05-19,1.0,0.0
2009-05-23,1.0,0.0
2009-05-27,1.0,0.0
2009-05-31,1.0,0.0
2009-06-04,1.0,0.0
2009-06-08,1.0,0.0
2009-06-12,1.0,0.0
2009-06-16,1.0,0.0
2009-06-20,1.0,0.0
2009-06-24,1.0,0.0
2009-06-28,1.0,0.0
2009-07-02,1.0,0.0
2009-07-06,1.0,0.0
2009-07-10,1.0,0.0
2009-07-14,1.0,0.0
2009-07-18,1.0,0.0
2009-07-22,1.0,0.0
2009-07-26,1.0,0.0
2009-07-30,1.0,0.0
2009-08-03,1.0,0.0
2009-08-07,1.0,0.0
2009-08-11,1.0,0.0
2009-08-15,1.0,0.0
2009-08-19,1.0,0.0
2009-08-23,1.0,0.0
2009-08-27,1.0,0.0
2009-08-31,1.0,0.0
2009-09-04,1.0,0.0
2009-09-08,1.0,0.0
2009-09-12,1.0,0.0
2009-09-16,1.0,0.0
2009-09-20,1.0,0.0
2009-09-24,1.0,0.0
2009-09-28,1.0,0.0
2009-10-02,1.0,0.0
2009-10-06,1.0,0.0
2009-10-10,1.0,0.0
2009-10-14,1.0,0.0
2009-10-18,1.0,0.0
2009-10-22,1.0,0.0
2009-10-26,1.0,0.0
2009-10-30,1.0,0.0
2009-11-03,1.0,0.0
2009-11-07,1.0,0.0
2009-11-11,1.0,0.0
2009-11-15,1.0,0.0
2009-11-19,1.0,0.0
2009-11-23,1.0,0.0
2009-11-27,1.0,0.0
2009-12-01,1.0,0.0
2009-12-05,1.0,0.0
2009-12-09,1.0,0.0
2009-12-13,1.0,0.0
2009-12-17,1.0,0.0
2009-12-21,1.0,0.0
2009-12-25,1.0,0.0
2009-12-29,1.0,0.0
2010-01-02,1.18289953431284,0.0
2010-01-06,1.18289953431284,0.0
2010-01-10,1.18289953431284,0.0
2010-01-14,1.30506213159152,0.0
2010-01-18,1.30506213159152,0.0
2010-01-22,1.30506213159152,0.0
2010-01-26,1.34422497077103,0.0
2010-01-30,1.34422497077103,0.0
2010-02-03,1.34422497077103,0.0
2010-02-07,1.81864853614541,0.0
2010-02-11,1.81864853614541,0.0
2010-02-15,2.52773821507236,0.0
2010-02-19,2.52773821507236,0.0
2010-02-23,2.52773821507236,0.0
2010-02-27,3.78117925203377,0.0
2010-03-03,3.78117925203377,0.0
2010-03-07,3.78117925203377,0.0
2010-03-11,4.53108175007069,0.0
2010-03-15,4.53108175007069,0.0
2010-03-19,4.53108175007069,0.0
2010-03-23,4.56516291033707,0.0
2010-03-27,4.56516291033707,0.0
2010-03-31,4.56516291033707,0.0
2010-04-04,6.08547690600079,0.0
2010-04-08,6.08547690600079,0.0
2010-04-12,7.81979699335383,0.0
2010-04-16,7.81979699335383,0.0
2010-04-20,7.81979699335383,0.0
2010-04-24,11.4643158055141,0.0
2010-04-28,11.4643158055141,0.0
2010-05-02,11.4643158055141,0.0
2010-05-06,12.8491831478238,0.0
2010-05-10,12.8491831478238,0.0
2010-05-14,12.8491831478238,0.0
2010-05-18,12.8491831478238,0.0
2010-05-22,11.8462281497047,0.0
2010-05-26,11.8462281497047,0.0
2010-05-30,16.6190787518574,0.0
2010-06-03,16.6190787518574,0.0
2010-06-07,16.6190787518574,0.0
2010-06-11,16.6190787518574,0.0
2010-06-15,17.3814881581401,0.0
2010-06-19,17.3814881581401,0.0
2010-06-23,17.3814881581401,0.0
2010-06-27,19.4047963283822,0.0
2010-07-01,19.4047963283822,0.0
2010-07-05,19.4047963283822,0.0
2010-07-09,23.5012572229032,0.0
2010-07-13,45.3858223410126,0.0
2010-07-17,181.543289364051,0.0
2010-07-21,181.543289364051,0.0
2010-07-25,181.543289364051,0.0
2010-07-29,244.213223092375,0.0
2010-08-02,244.213223092375,0.0
2010-08-06,352.16120906801,0.0
2010-08-10,352.16120906801,0.0
2010-08-14,352.16120906801,0.0
2010-08-18,511.773534256604,0.07
2010-08-22,511.773534256604,0.07
2010-08-26,511.773534256604,0.07
2010-08-30,623.386959868928,0.07
2010-09-03,623.386959868928,0.06
2010-09-07,623.386959868928,0.06
2010-09-11,712.884864552097,0.06
2010-09-15,712.884864552097,0.09
2010-09-19,917.830741301512,0.06
2010-09-23,917.830741301512,0.06
2010-09-27,917.830741301512,0.06
2010-10-01,1318.67005015359,0.06
2010-10-05,1318.67005015359,0.06
2010-10-09,1318.67005015359,0.1
2010-10-13,1378.02816503733,0.1
2010-10-17,1378.02816503733,0.11
2010-10-21,2149.02181494673,0.1
2010-10-25,2149.02181494673,0.18
2010-10-29,2149.02181494673,0.19
2010-11-02,3091.7368904118,0.2
2010-11-06,3091.7368904118,0.25
2010-11-10,4536.35372327504,0.32
2010-11-14,4536.35372327504,0.3
2010-11-18,4536.35372327504,0.28
2010-11-22,6866.89864897274,0.29
2010-11-26,6866.89864897274,0.28
2010-11-30,8078.19525792509,0.28
2010-12-04,8078.19525792509,0.26
2010-12-08,8078.19525792509,0.23
2010-12-12,12251.9997603745,0.23
2010-12-16,12251.9997603745,0.25
2010-12-20,12251.9997603745,0.26
2010-12-24,14484.1623612254,0.25
2010-12-28,14484.1623612254,0.27
2011-01-01,14484.1623612254,0.3
2011-01-05,16307.420938524,0.3
2011-01-09,16307.420938524,0.32
2011-01-13,16307.420938524,0.36
2011-01-17,18437.6443921663,0.4
2011-01-21,18437.6443921663,0.38
2011-01-25,18437.6443921663,0.44
2011-01-29,22012.3813379939,0.45
2011-02-02,22012.3813379939,0.92
2011-02-06,22012.3813379939,0.92
2011-02-10,25997.8799288144,0.97
2011-02-14,25997.8799288144,1.08
2011-02-18,36459.8869250751,1.05
2011-02-22,36459.8869250751,0.88
2011-02-26,36459.8869250751,1.0
2011-03-02,55589.5181268687,0.97
2011-03-06,55589.5181268687,0.92
2011-03-10,76192.6193475137,0.88
2011-03-14,76192.6193475137,0.91
2011-03-18,76192.6193475137,0.87
2011-03-22,76192.6193475137,0.79
