close_btc,close_qqq,difficulty,close_VIX,volume_qqq,value_fear_greed,close_int,date,target,target_signal,btc_change
73431.0,22.09,13798783827516.0,14.02,72660000.0,38.0,1.55,2020-01-03,77591.0,verde,0.05398306301133915
77591.0,22.51,13798783827516.0,13.85,64390000.0,41.0,1.55,2020-01-06,81557.0,verde,0.0566518227996351
81557.0,22.49,13798783827516.0,13.79,57530000.0,40.0,1.55,2020-01-07,80596.0,rojo,0.051114175613151014
80596.0,23.0,13798783827516.0,13.45,80130000.0,51.0,1.55,2020-01-08,78424.0,rojo,-0.011783170052846459
78424.0,23.58,13798783827516.0,12.54,73190000.0,44.0,1.55,2020-01-09,81871.0,verde,-0.026949228249540935
81871.0,23.39,13798783827516.0,12.56,68880000.0,41.0,1.54,2020-01-10,81114.0,rojo,0.0439533816178721
81114.0,24.21,13798783827516.0,12.32,58640000.0,49.0,1.54,2020-01-13,88292.0,verde,-0.009246253252067294
88292.0,23.92,13819009697340.3,12.39,73360000.0,56.0,1.54,2020-01-14,88183.0,amarillo,0.08849273861478912
88183.0,23.94,13819009697340.3,12.42,66500000.0,54.0,1.54,2020-01-15,87269.0,rojo,-0.001234539935668022
87269.0,24.61,13819009697340.3,12.32,60550000.0,55.0,1.54,2020-01-16,89131.0,verde,-0.0103648095437896
89131.0,24.98,13819009697340.3,12.1,72200000.0,54.0,1.55,2020-01-17,87326.0,rojo,0.021336327905671082
87326.0,24.96,14776367535689.0,12.85,69440000.0,49.0,1.55,2020-01-21,86785.0,rojo,-0.020251091090641826
86785.0,25.13,14776367535689.0,12.91,68070000.0,52.0,1.55,2020-01-22,84051.0,rojo,-0.006195176694226201
84051.0,25.36,14776367535689.0,12.98,71790000.0,49.0,1.55,2020-01-23,84399.0,amarillo,-0.031503139943538594
84399.0,24.71,14776367535689.0,14.56,119690000.0,40.0,1.55,2020-01-24,88666.0,verde,0.004140343362958099
88666.0,23.18,14776367535689.0,18.23,99310000.0,50.0,1.55,2020-01-27,93773.0,verde,0.05055747106008357
93773.0,24.26,14776367535689.0,16.28,85930000.0,54.0,1.55,2020-01-28,92989.0,rojo,0.05759817742990547
92989.0,24.34,14776367535689.0,16.39,69290000.0,57.0,1.55,2020-01-29,95073.0,verde,-0.008360615528990256
95073.0,24.62,15466098935555.0,15.49,100130000.0,57.0,1.6,2020-01-30,93491.0,rojo,0.022411252943896676
93491.0,23.41,15466098935555.0,18.84,110190000.0,55.0,1.59,2020-01-31,92966.0,rojo,-0.016639845171604994
92966.0,24.49,15466098935555.0,17.97,87090000.0,59.0,1.59,2020-02-03,91939.0,rojo,-0.005615513792771476
91939.0,26.16,15466098935555.0,16.05,70130000.0,56.0,1.59,2020-02-04,96118.0,verde,-0.011047049458941971
96118.0,26.46,15466098935555.0,15.15,87310000.0,53.0,1.59,2020-02-05,97720.0,verde,0.045454051055591194
97720.0,27.1,15466098935555.0,14.96,56570000.0,61.0,1.59,2020-02-06,98186.0,amarillo,0.016667013462618785
98186.0,26.75,15466098935555.0,15.47,77030000.0,56.0,1.58,2020-02-07,98541.0,amarillo,0.004768726975030724
98541.0,27.72,15466098935555.0,15.04,61630000.0,57.0,1.58,2020-02-10,102295.0,verde,0.003615586743527688
102295.0,27.74,15521134947902.1,15.18,96890000.0,52.0,1.58,2020-02-11,103177.0,verde,0.03809581798439221
103177.0,28.55,15521134947902.1,13.74,60800000.0,61.0,1.58,2020-02-12,102351.0,rojo,0.008622122293367118
102351.0,28.44,15521134947902.1,14.15,77640000.0,65.0,1.58,2020-02-13,103330.0,verde,-0.008005660176202078
103330.0,28.64,15521134947902.1,13.68,56990000.0,63.0,1.58,2020-02-14,101584.0,rojo,0.009565123936258635
101584.0,28.68,15546745765529.0,14.83,65570000.0,53.0,1.59,2020-02-18,96094.0,rojo,-0.016897319268363464
96094.0,29.51,15546745765529.0,14.38,52810000.0,50.0,1.59,2020-02-19,96024.0,amarillo,-0.054043943928177685
96024.0,28.67,15546745765529.0,15.56,113830000.0,44.0,1.59,2020-02-20,96845.0,verde,-0.0007284533893895384
96845.0,27.03,15546745765529.0,17.08,103710000.0,44.0,1.58,2020-02-21,96627.0,amarillo,0.008549945846871632
96627.0,23.92,15546745765529.0,25.03,134840000.0,46.0,1.58,2020-02-24,93172.0,rojo,-0.0022510196706077013
93172.0,21.99,15546745765529.0,27.85,150400000.0,44.0,1.58,2020-02-25,88003.0,rojo,-0.03575605162118245
88003.0,22.29,15546745765529.0,27.56,170270000.0,41.0,1.58,2020-02-26,88186.0,amarillo,-0.05547804061305972
88186.0,18.95,15486913440293.0,39.16,212560000.0,39.0,1.58,2020-02-27,86975.0,rojo,0.002079474563367212
86975.0,19.25,15486913440293.0,40.11,247670000.0,40.0,1.58,2020-02-28,89048.0,verde,-0.013732338466423188
89048.0,21.88,15486913440293.0,33.42,181760000.0,38.0,1.59,2020-03-02,87614.0,rojo,0.023834435182523706
87614.0,19.82,15486913440293.0,36.82,274060000.0,38.0,1.59,2020-03-03,87579.0,amarillo,-0.016103674422783265
87579.0,22.22,15486913440293.0,31.99,157910000.0,40.0,1.09,2020-03-04,90603.0,verde,-0.00039947953523411517
90603.0,20.27,15486913440293.0,39.62,193490000.0,41.0,1.09,2020-03-05,91348.0,verde,0.03452882540335023
91348.0,19.21,15486913440293.0,41.94,196760000.0,39.0,1.09,2020-03-06,79330.0,rojo,0.008222685783031425
79330.0,15.31,15486913440293.0,54.46,203480000.0,17.0,1.09,2020-03-09,78912.0,rojo,-0.13156281473048126
78912.0,17.69,16552923967337.0,47.3,228130000.0,16.0,1.09,2020-03-10,79351.0,verde,-0.005269128954998092
79351.0,15.41,16552923967337.0,53.9,217420000.0,17.0,1.09,2020-03-11,48260.0,rojo,0.005563158961881642
48260.0,11.19,16552923967337.0,75.47,309110000.0,14.0,1.1,2020-03-12,55843.0,verde,-0.3918161081775907
55843.0,14.21,16552923967337.0,57.83,278140000.0,10.0,1.1,2020-03-13,50300.0,rojo,0.15712805636137595
50300.0,9.31,16552923967337.0,82.69,329140000.0,9.0,0.25,2020-03-16,52611.0,verde,-0.0992604265530147
52611.0,10.83,16552923967337.0,75.91,381010000.0,8.0,0.25,2020-03-17,53614.0,verde,0.045944333996023934
53614.0,9.83,16552923967337.0,76.45,424500000.0,11.0,0.25,2020-03-18,61720.0,verde,0.01906445420159275
61720.0,10.06,16552923967337.0,72.0,402400000.0,12.0,0.2,2020-03-19,62053.0,verde,0.1511918528742493
62053.0,8.88,16552923967337.0,66.04,391130000.0,9.0,0.15,2020-03-20,64689.0,verde,0.00539533376539203
